route_short_name,stop_sequence,stop_name,stop_lat,stop_lon
R5,18,Sant Vicenç dels Horts,41.38810839,2.012398952
R5,19,El Palau,41.45588074,1.9622947
R5,21,Martorell Central,41.4792845,1.925294975
R5,21,Molí Nou - Ciutat Cooperativa,41.35751473,2.035276936
R5,22,Martorell Enllaç,41.48396936,1.918677519
R5,22,Sant Boi,41.34856143,2.042855988
R5,23,Abrera,41.52256137,1.906805399
R5,23,Cornellà Riera,41.35147828,2.071263627
R5,24,Olesa de Montserrat,41.54105908,1.888618922
R5,24,Almeda,41.35306747,2.085251402
R5,25,Montserrat-Aeri,41.59119812,1.853361605
R5,25,L'Hospitalet Av. Carrilet,41.35793378,2.102709519
R5,26,Monistrol de Montserrat,41.6103596,1.84919403
R5,26,Sant Josep,41.36070098,2.10991665
R5,27,Castellbell i El Vilar,41.64051706,1.854793522
R5,27,Gornal,41.35488589,2.117431558
R5,28,Sant Vicenç-Castellgalí,41.66791016,1.8596058
R5,28,Europa | Fira,41.35655892,2.124199344
R5,29,Manresa Viladordis,41.72436991,1.83398595
R5,29,Ildefons Cerdà,41.36090867,2.130023266
R5,30,Manresa-Alta,41.73224,1.832986
R5,30,Magòria La Campana,41.36748768,2.138879447
R5,31,Manresa-Baixador,41.731457,1.827904
R5,31,Barcelona - Plaça Espanya,41.3747199,2.148458333
R50,1,Manresa-Baixador,41.731457,1.827904
R50,1,Barcelona - Plaça Espanya,41.3747199,2.148458333
R50,2,Manresa-Alta,41.73224,1.832986
R50,3,Manresa Viladordis,41.72436991,1.83398595
R50,3,Ildefons Cerdà,41.36090867,2.130023266
R50,4,Sant Vicenç-Castellgalí,41.66791016,1.8596058
R50,4,Europa | Fira,41.35655892,2.124199344
R50,5,Gornal,41.35488589,2.117431558
R50,6,Monistrol de Montserrat,41.6103596,1.84919403
R50,6,Sant Josep,41.36070098,2.10991665
R50,7,L'Hospitalet Av. Carrilet,41.35793378,2.102709519
R50,8,Olesa de Montserrat,41.54105908,1.888618922
R50,8,Almeda,41.35306747,2.085251402
R50,9,Abrera,41.52256137,1.906805399
R50,9,Cornellà Riera,41.35147828,2.071263627
R50,10,Sant Boi,41.34856143,2.042855988
R50,11,Martorell Central,41.4792845,1.925294975
R50,14,Sant Andreu de la Barca,41.44648001,1.973673502
R50,14,Sant Vicenç dels Horts,41.38810839,2.012398952
R50,15,Pallejà,41.42078685,1.995677605
R50,17,Pallejà,41.42078685,1.995677605
R50,18,Sant Vicenç dels Horts,41.38810839,2.012398952
R50,18,Sant Andreu de la Barca,41.44648001,1.973673502
R50,21,Martorell Central,41.4792845,1.925294975
R50,22,Sant Boi,41.34856143,2.042855988
R50,23,Cornellà Riera,41.35147828,2.071263627
R50,23,Abrera,41.52256137,1.906805399
R50,24,Almeda,41.35306747,2.085251402
R50,24,Olesa de Montserrat,41.54105908,1.888618922
R50,25,L'Hospitalet Av. Carrilet,41.35793378,2.102709519
R50,26,Sant Josep,41.36070098,2.10991665
R50,26,Monistrol de Montserrat,41.6103596,1.84919403
R50,27,Gornal,41.35488589,2.117431558
R50,28,Europa | Fira,41.35655892,2.124199344
R50,28,Sant Vicenç-Castellgalí,41.66791016,1.8596058
R50,29,Ildefons Cerdà,41.36090867,2.130023266
R50,29,Manresa Viladordis,41.72436991,1.83398595
R50,30,Manresa-Alta,41.73224,1.832986
R50,31,Barcelona - Plaça Espanya,41.3747199,2.148458333
R50,31,Manresa-Baixador,41.731457,1.827904
R53,1,Manresa-Baixador,41.731457,1.827904
R53,2,Manresa-Alta,41.73224,1.832986
R53,3,Manresa Viladordis,41.72436991,1.83398595
R53,4,Sant Vicenç-Castellgalí,41.66791016,1.8596058
R53,5,Castellbell i El Vilar,41.64051706,1.854793522
R53,6,Monistrol de Montserrat,41.6103596,1.84919403
R53,7,Montserrat-Aeri,41.59119812,1.853361605
R53,8,Olesa de Montserrat,41.54105908,1.888618922
R53,9,Abrera,41.52256137,1.906805399
R53,10,Martorell Enllaç,41.48396936,1.918677519
R53,11,Martorell Central,41.4792845,1.925294975
R53,12,Martorell Vila,41.4758714,1.938956855
R53,13,El Palau,41.45588074,1.9622947
R53,14,Sant Andreu de la Barca,41.44648001,1.973673502
R53,15,Pallejà,41.42078685,1.995677605
R53,16,Quatre Camins,41.40629238,2.001715183
R53,17,Can Ros,41.39882061,2.005346458
R53,18,Sant Vicenç dels Horts,41.38810839,2.012398952
R53,19,Santa Coloma de Cervelló,41.37064766,2.023520241
R53,20,Colònia Güell,41.36386336,2.031859416
R53,21,Molí Nou - Ciutat Cooperativa,41.35751473,2.035276936
R53,22,Sant Boi,41.34856143,2.042855988
R53,23,Cornellà Riera,41.35147828,2.071263627
R53,24,Almeda,41.35306747,2.085251402
R53,25,L'Hospitalet Av. Carrilet,41.35793378,2.102709519
R53,26,Sant Josep,41.36070098,2.10991665
R53,27,Gornal,41.35488589,2.117431558
R53,28,Europa | Fira,41.35655892,2.124199344
R53,29,Ildefons Cerdà,41.36090867,2.130023266
R53,30,Magòria La Campana,41.36748768,2.138879447
R53,31,Barcelona - Plaça Espanya,41.3747199,2.148458333
R6,1,Barcelona - Plaça Espanya,41.3747199,2.148458333
R6,1,Igualada,41.57802651,1.629951133
R6,1,Martorell Enllaç,41.48396936,1.918677519
R6,1,Martorell Central,41.4792845,1.925294975
R6,2,Magòria La Campana,41.36748768,2.138879447
R6,2,Vilanova del Camí,41.57331472,1.642009216
R6,2,Sant Esteve Sesrovires,41.49767605,1.8724438
R6,2,Martorell Enllaç,41.48396936,1.918677519
R6,3,Ildefons Cerdà,41.36090867,2.130023266
R6,3,La Pobla de Claramunt,41.55461094,1.677906247
R6,3,La Beguda,41.5017639,1.838788972
R6,3,Sant Esteve Sesrovires,41.49767605,1.8724438
